NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","NAO","4629153708503919",0
"Ricardo de Medeiros Carneiro","CARNEIRO, Ricardo de Medeiros","2","SIM","",0
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","SIM","4629153708503919",1
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","NAO","4629153708503919",2
"Ricardo de Medeiros Carneiro","CARNEIRO, Ricardo de Medeiros","2","SIM","",2
"Antonio Carlos Macedo e Silva","SILVA, Antonio Carlos Macedo e","3","NAO","",2
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","4","NAO","4989183279921217",2
"Francisco Luiz Cazeiro Lopreato","LOPREATO, Francisco Luiz Cazeiro","5","NAO","",2
"Maria Cristina Penido de Freitas","FREITAS, Maria Cristina Penido de","6","NAO","4428674657578467",2
"claudio roberto amitrano","AMITRANO, C. R.","7","NAO","",2
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","SIM","4629153708503919",3
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","NAO","4989183279921217",3
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","NAO","4629153708503919",4
"Ricardo de Medeiros Carneiro","CARNEIRO, Ricardo de Medeiros","2","SIM","",4
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","3","NAO","4989183279921217",4
"Maria Cristina Penido de Freitas","FREITAS, Maria Cristina Penido de","4","NAO","4428674657578467",4
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","5","NAO","0203332327068087",4
"Júlio Sérgio Gomes de Almeida","Almeida, Júlio Sérgio Gomes de","6","NAO","",4
"andre martins biancarelli","biancarelli, andré martins","7","NAO","",4
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","NAO","4629153708503919",5
"Ricardo de Medeiros Carneiro","CARNEIRO, Ricardo de Medeiros","2","SIM","",5
"Antonio Carlos Macedo e Silva","SILVA, Antonio Carlos Macedo e","3","NAO","",5
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","4","NAO","4989183279921217",5
"Francisco Luiz Cazeiro Lopreato","LOPREATO, Francisco Luiz Cazeiro","5","NAO","",5
"Emerson Fernandes Marçal","MARÇAL, Emerson Fernandes","6","NAO","",5
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","NAO","4629153708503919",6
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","SIM","0203332327068087",6
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","NAO","4629153708503919",7
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","SIM","0203332327068087",7
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","NAO","4629153708503919",8
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","SIM","0203332327068087",8
