NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","SIM","2947005633726248",0
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","SIM","2947005633726248",1
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","SIM","2947005633726248",2
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","NAO","2947005633726248",3
"Cláudio Schuller Maciel","MACIEL, C. S.","2","SIM","",3
"Humberto Miranda do Nascimento","Nascimento, H. M.","3","NAO","",3
"Ana Cristina de Almeida Fernandes","Fernandes, Ana Cristina de Almeida","4","NAO","",3
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","SIM","2947005633726248",4
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","SIM","2947005633726248",5
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","SIM","2947005633726248",6
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","SIM","2947005633726248",7
"Pedro Fiori Arantes","ARANTES, P. F.","2","NAO","7983341512092040",7
"Giselle Tanaka","TANAKA, G.","3","NAO","",7
"Mariana de Azevedo Barretto Fix","FIX, M.;Fix, Mariana;DE AZEVEDO BARRETTO FIX, MARIANA","1","SIM","2947005633726248",8
