NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,NRO-ID-CNPQ,EQUIPE-DO-PROJETO_Id
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",0
"Ana Luiza Lodi","LODI, A. L.","2","NAO","",0
"Fabiola Braunger Valio","VALIO, Fabiola","3","NAO","",0
"Marcelo Tavares","TAVARES, M.","4","NAO","",0
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",1
"Ana Luiza Lodi","LODI, A. L.","2","NAO","",1
"Fabiola Braunger Valio","VALIO, Fabiola","3","NAO","",1
"Marcelo Tavares","TAVARES, M.","4","NAO","",1
"Silvia Antunes","ANTUNES, S.","5","NAO","",1
"Maria de Lourdes Alencar","ALENCAR, M. L.","6","NAO","",1
"Eugenia Troncoso Leone","LEONE, E. T.","1","NAO","8193784842843418",2
"Claudio Salvadori Dedecca","DEDECCA, C. S.","2","SIM","",2
"Lilian Montali","MONTALI, L.","3","NAO","",2
"Rosana Baeninger","BAENINGER, R.","4","NAO","",2
"Stela Maria Telles","TELLES, S. M.","5","NAO","",2
"Aline Smaniotto","Smaniotto, A.","6","NAO","",2
"Fabiana de Andrade","ANDRADE, F.","7","NAO","",2
"Marcelo Tavares","TAVARES, M.","8","NAO","",2
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",3
"Iolanda Christine Monteiro","MONTEIRO, I. C.","2","NAO","",3
"Alessandra Scalioni Brito","BRITO, A. S.","3","NAO","",3
"Gustavo Monteiro","MONTEIRO, G.","4","NAO","",3
"Eugenia Troncoso Leone","LEONE, E. T.","1","NAO","8193784842843418",4
"Marcelo W. Proni","PRONI, M. W.","2","NAO","2968931622376183",4
"Anselmo Luís dos Santos","SANTOS, A. L.","3","SIM","8578750972825935",4
"Amilton José Moretto","MORETTO, A. J.","4","NAO","",4
"Denis Maracci Gimenez","GIMENEZ, D. M.","5","NAO","",4
"Walter Barelli","BARELLI, W.","6","NAO","",4
"Ricardo Azevedo","AZEVEDO, R.","7","NAO","",4
"Fabiano Lago Garrido","GARRIDO, F. L.","8","NAO","",4
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",5
"Mayra Gobbi Silva","SILVA, M. G.","2","NAO","",5
"Daphnae Helena Picoli","PICOLI, D. H.","3","NAO","",5
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",6
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",7
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",8
"Juliana rocha Lages","LAGES, J. R.","2","NAO","",8
"Luciano Liesenberg","LIESENBERG, L.","3","NAO","",8
"Adriana Strusburg Camargo de Andrade","ANDRADE, A. S. C.","4","NAO","",8
"Cleber Luiz Lourenço","LOURENÇO, C. L.","5","NAO","",8
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",9
"Alessandra Scalioni Brito","BRITO, A. S.","2","NAO","",9
"Gustavo Monteiro","MONTEIRO, G.","3","NAO","",9
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",10
"Ana Luiza Lodi","LODI, A. L.","2","NAO","",10
"Nathalia Borges","BORGES, N.","3","NAO","",10
"Iolanda Christine Monteiro","MONTEIRO, I. C.","4","NAO","",10
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",11
"Ana Luiza Lodi","LODI, A. L.","2","NAO","",11
"Nathalia Borges","BORGES, N.","3","NAO","",11
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",12
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",13
"José Dari Krein","KREIN, J. D","2","NAO","3697694280982227",13
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",14
"Amilton José Moretto","MORETTO, A. J.","2","NAO","",14
"Eugenia Troncoso Leone","LEONE, E. T.","1","SIM","8193784842843418",15
