TIPO,TITULO,ANO,PAIS,IDIOMA,NOME_DO_CANDIDATO
Doutorado,Osteoarthritis Imaging by Quanti cation of Tibial Trabecular Bone,2013,Dinamarca,Inglês,Joselene Marques
Doutorado,Comparação Prospectiva entre os Tratamentos Clínico e Cirúrgico para Epilepsia de Lobo Temporal Medial,2009,Brasil,Português,Clarissa Lin Yasuda
Doutorado,Novel 2D and 3D Digital Shape Modeling Strategies,2010,Inglaterra,Inglês,Sylvia Rueda
Doutorado,Aprendizado Computacional Baseado em distÂncia a Segmentos de Retas,2009,Brasil,Português,João Henrique Burckas Ribeiro
Doutorado,Tensor based descriptors applied to human action recognition,2013,Brasil,Inglês,Virgínia Fernandes Mota
Doutorado,Atlas Anatômico da Cabeçaa e do Pescoçoo: Aplicação à Radioterapia Adaptativa,2008,Brasil,Português,Adriane Parraga
Doutorado,Representação de Sistemas Biológicos a partir de Sistemas Dinâmicos: Controle da transcrição a partir do Estrógeno,2008,Brasil,Português,Marcelo Ris
Doutorado,Avaliação da Articulação Temporomadibular (ATM) com  Reconstrução Multiplanar de Imagens por Ressonância Magnética em  Pacientes com e sem Cefaléia Secondária a Desordem  Temporomadibular,2008,Brasil,Português,André Luis  Ferreira Costa
Doutorado,"Segmentacao de Imagens Naturais Baseada em Modelos de Cor de Diferenca Cromatica, Mascaras de Deteccao de Contornos e Supressao Morfologica de Texturas",2015,Brasil,Português,Diogo Cavalcanti Costa
Doutorado,Efficient High-Dimensional Filtering for Image and Video Processing,2015,Brasil,Inglês,Eduardo Simoes Lopes Gastal
Doutorado,Image processing on optimal volume sampling lattices: Thinking outside the box,2015,Suécia,Inglês,Elisabeth Schold Linnér
Doutorado,"Medial Descriptors for 3D Shape Segmentation, Reconstruction, and Analysis.",2015,Brasil,Português,Jacek L. Kustra
Doutorado,Skeletonization Methods for Image and Volume Inpainting,2016,Holanda,Inglês,André Sobiecki
